Account Name,County (service area),Billing Street,Billing City,Billing State,Billing Code,Contact Name,Organization type,Priority,Outreach status,Who they serve,Website,Notes / partnership details
City of Kissimmee housing resource hub,Osceola County,,,,,City of Kissimmee housing resource hub,City referral hub,Medium,,Osceola residents seeking emergency rental or supportive services,https://www.kissimmee.gov/Services/Social-Services-Quality-of-Life-Programs/Available-Resources-and-Help,Useful for identifying programs backed by local government.
The Salvation Army Kissimmee,Osceola County,,,,,The Salvation Army Kissimmee,Nonprofit,Medium,,Osceola households in crisis,https://orlando.salvationarmyflorida.org/Kissimmee,Included via community resource guide; current availability should be verified on outreach.
Changing Homelessness,Duval County,,,,,Changing Homelessness,Nonprofit,High,Email Sent,"People experiencing homelessness in Duval and nearby counties, including veterans and families",https://www.changinghomelessness.org,Important for referrals from coordinated entry and outreach teams.
Family Promise of Jacksonville,Duval County,,,,,Family Promise of Jacksonville,Nonprofit,High,,Families with children experiencing homelessness,https://familypromisejax.org/get-help/,"If funding is available, the organization says it will respond within three business days."
Sulzbacher,Duval County,,,,,Sulzbacher,Nonprofit,High,,"Men, women, children, veterans, and families experiencing homelessness",https://www.sulzbacherjax.org,Large provider with multiple housing-related programs.
Catholic Charities Jacksonville,Duval County,,,,,Catholic Charities Jacksonville,Nonprofit,High,,"Households struggling to pay rent, mortgage, utilities, or deposits",https://www.ccbjax.org/emergency-financial-assistance,Good target for deposit-assisted move-ins.
Downtown Ecumenical Services Council (DESC),Duval County,,,,,Downtown Ecumenical Services Council (DESC),Nonprofit,High,,"Households with children, seniors, or someone with a disability",https://descjax.org/assistance-services/get-help-with-rent-or-utilities/,Cannot help once an eviction summons is already issued.
Northeast Florida Community Action Agency (NFCAA) - Duval,Duval County,2055 Reyko Rd Suite 200,Jacksonville,FL,32207,Northeast Florida Community Action Agency (NFCAA) - Duval,Nonprofit,Medium,,Income-qualified households in Duval County,https://nfcaa.org/utility-assistance/,Resource directory indicates shelter agreement and W-9 can be required for rent help.
Jacksonville Eviction Diversion Program,Duval County,,,,,Jacksonville Eviction Diversion Program,Program administered with community partners,Medium,,Tenants and landlords working to avoid eviction in Duval County,https://jacksonvilleevictiondiversion.org,Up to three months of back rent per site language.
City of Jacksonville Emergency Financial Assistance Program,Duval County,"Midtown Centre, 1809 Art Museum Dr Suite 100",Jacksonville,FL,32207,City of Jacksonville Emergency Financial Assistance Program,City program,Medium,,Duval residents facing documentable crisis,https://www.jacksonville.gov/departments/parks-and-recreation/social-services/emergency-financial-assistance-program,Court-ordered eviction notices receive priority.
The Salvation Army of Northeast Florida,Duval County,,,,,The Salvation Army of Northeast Florida,Nonprofit,Medium,,Low-income Duval residents facing eviction or disconnection,https://jacksonville.salvationarmyflorida.org/nefl/rental-assistance,Official page directs prospects to Towers Center of Hope for qualification.
Homeless Coalition of St. Johns County,St. Johns County,62 Chapin St, St. Augustine,FL,32084,Homeless Coalition of St. Johns County,Nonprofit,High,,Homeless families with minor children and other vulnerable households,https://homelesscoalitionstjohns.com/about/,One of the most relevant St. Johns nonprofits for direct outreach.
St. Johns County Continuum of Care / Opening Doors network,St. Johns County,100 Whetstone Place Suite 303, St. Augustine,FL,32086,St. Johns County Continuum of Care / Opening Doors network,Countywide network,High,,"County residents needing housing, shelter, and referral services",https://www.stjohnscountycoc.org/opening-doors,"Useful master list for agencies, shelters, and niche programs."
Catholic Charities St. Augustine,St. Johns County,,,,,Catholic Charities St. Augustine,Nonprofit,High,,"Families, elderly, disabled individuals, and others on the brink of homelessness",https://www.ccbstaug.org/emergency-financial-assistance,Covers St. Johns County along with neighboring counties.
St. Johns County Social Services - Limited Rental and Utility Assistance,St. Johns County,200 San Sebastian View Suite 2300, St. Augustine,FL,32084,St. Johns County Social Services - Limited Rental and Utility Assistance,County program,Medium,,St. Johns residents with documented financial crisis,https://www.sjcfl.us/limited-rental-and-utility-assistance/,Assistance generally available once in an 18-month period.
Home Again St. Johns,St. Johns County,285 S Holmes Blvd, St. Augustine,FL,32084,Home Again St. Johns,Nonprofit,High,,Housing-challenged residents and veterans in St. Johns County,https://www.homeagainsaintjohns.org,Housing coalition provider page lists direct phone and service summary.
St. Vincent de Paul Society - St. Augustine,St. Johns County,,,,,St. Vincent de Paul Society - St. Augustine,Nonprofit,Medium,,Residents in need in St. Johns County,https://www.svdpsa.com/neighbor-services.html,School district resource guide says it helps with rent and utilities.
St. Francis House,St. Johns County,70 Washington St, St. Augustine,FL,32084,St. Francis House,Nonprofit,Medium,,"Men, women, and families experiencing homelessness",https://www.stfrancisshelter.org/,More of a placement/referral relationship than a funding source.
St. Johns Housing Partnership,St. Johns County,,,,,St. Johns Housing Partnership,Nonprofit,Medium,,"Low- and moderate-income households, seniors, disabled residents, and veterans",https://www.sjhp.org/rent/,Good strategic contact for county affordable-housing relationships.
Michael Clark- Sheriff,St. Johns County,,,,,Michael Clark- Sheriff,,,Email Sent,, www.sjso.org,
